round,rmse,mae
95,2.1469945907592773,1.8635401725769043
96,2.120499610900879,1.8574844598770142
97,2.116509199142456,1.8515114784240723
98,2.119152307510376,1.851716160774231
99,2.084259271621704,1.8267265558242798
100,2.062499761581421,1.815230369567871
101,2.021462917327881,1.7909687757492065
102,2.027611255645752,1.7805569171905518
103,2.0067532062530518,1.7591826915740967
104,1.9972691535949707,1.7480343580245972
105,1.9951426982879639,1.7428213357925415
106,1.9525396823883057,1.6994003057479858
107,1.942639946937561,1.6790060997009277
108,1.9220837354660034,1.6653021574020386
109,1.9063255786895752,1.6647993326187134
110,1.8681696653366089,1.639747977256775
111,1.8460724353790283,1.6196467876434326
112,1.842615008354187,1.623888373374939
113,1.8393988609313965,1.6248704195022583
114,1.8094679117202759,1.6066758632659912
115,1.779329538345337,1.584470272064209
116,1.7597589492797852,1.5578304529190063
117,1.7199463844299316,1.533934473991394
118,1.7397384643554688,1.5462021827697754
119,1.7041106224060059,1.5173951387405396
120,1.7156550884246826,1.52946138381958
121,1.704808235168457,1.5394549369812012
122,1.6976616382598877,1.5409150123596191
123,1.676944375038147,1.5202316045761108
124,1.6619541645050049,1.513819932937622
125,1.6578240394592285,1.5167055130004883
126,1.6713639497756958,1.53529691696167
127,1.673770546913147,1.5419741868972778
128,1.684443712234497,1.5524142980575562
129,1.6744742393493652,1.5394827127456665
130,1.670404314994812,1.5428091287612915
131,1.673375129699707,1.552435278892517
132,1.6827753782272339,1.564215898513794
133,1.6629670858383179,1.5617623329162598
134,1.7064208984375,1.5918731689453125
135,1.7801144123077393,1.6473982334136963
136,1.8220851421356201,1.683404803276062
137,1.8696812391281128,1.7165274620056152
138,1.9003643989562988,1.7564277648925781
139,1.9424872398376465,1.801369309425354
140,1.9887604713439941,1.8535935878753662
141,2.0146162509918213,1.8968151807785034
142,2.0573606491088867,1.9462122917175293
143,2.096461772918701,1.995108962059021
144,2.120326280593872,2.029838800430298
145,2.1483545303344727,2.063554286956787
146,2.150399923324585,2.0724751949310303
147,2.1271250247955322,2.059300184249878
148,2.125494956970215,2.064312219619751
149,2.1426310539245605,2.0827507972717285
150,2.1682021617889404,2.108225107192993
151,2.185256242752075,2.1252660751342773
152,2.2281534671783447,2.1616742610931396
153,2.2577321529388428,2.193186044692993
154,2.2994933128356934,2.235292911529541
155,2.3606154918670654,2.286118268966675
156,2.3974101543426514,2.3297154903411865
