round,rmse,mae
1,59.781288146972656,59.55705642700195
2,59.621971130371094,59.387393951416016
3,59.58515167236328,59.34828567504883
4,59.60884094238281,59.37247085571289
5,59.65134811401367,59.41389083862305
6,59.75267028808594,59.51286697387695
7,59.710975646972656,59.46647644042969
8,59.750831604003906,59.502052307128906
9,59.76335906982422,59.55864715576172
10,59.77532196044922,59.62038040161133
11,59.849815368652344,59.7431755065918
12,59.91132736206055,59.809730529785156
13,59.88319778442383,59.78205871582031
14,59.15272903442383,59.056053161621094
15,56.93141555786133,56.784114837646484
16,40.34345626831055,40.08955383300781
17,11.503662109375,10.990239143371582
18,6.947536468505859,6.270966053009033
19,6.163467884063721,5.414688587188721
20,6.341814041137695,5.596630096435547
21,6.1721649169921875,5.3698601722717285
22,6.382925987243652,5.58145809173584
23,6.3771443367004395,5.5655341148376465
24,6.556515693664551,5.710041046142578
25,6.570275783538818,5.7285685539245605
26,6.626241683959961,5.733562469482422
27,6.631819248199463,5.816312789916992
28,6.393256187438965,5.595154285430908
29,6.332204818725586,5.562070369720459
30,6.122992515563965,5.3684983253479
31,6.0281476974487305,5.300720691680908
32,6.402397632598877,5.3583149909973145
33,6.572834014892578,5.523770332336426
34,6.561277389526367,5.450969696044922
35,6.538164138793945,5.4542059898376465
36,6.402405261993408,5.316512584686279
37,7.393670082092285,6.541581630706787
38,6.543487548828125,5.631063461303711
39,6.791966438293457,5.938127517700195
40,6.35235595703125,5.388874530792236
41,6.772225379943848,5.959622383117676
42,6.235145092010498,5.348486423492432
43,6.596854209899902,5.794583320617676
44,6.200884819030762,5.586535453796387
45,6.506227970123291,6.026198863983154
46,5.675113677978516,5.151683807373047
47,6.797350883483887,6.118632793426514
48,6.223456859588623,5.538743495941162
49,6.91396951675415,6.002476215362549
50,6.774904727935791,5.9679975509643555
51,7.3590216636657715,6.316129207611084
52,6.815856456756592,5.7510247230529785
53,7.5894951820373535,6.535735607147217
54,7.014166355133057,6.059319496154785
55,7.965872287750244,6.854287624359131
56,7.785149574279785,6.599920749664307
57,7.967405319213867,6.7435712814331055
58,8.439388275146484,7.370943069458008
59,8.906268119812012,7.678523063659668
60,9.780097961425781,8.981771469116211
61,9.428824424743652,8.244429588317871
62,9.948437690734863,8.812548637390137
63,10.393720626831055,9.467516899108887
64,11.09141731262207,9.95719051361084
65,11.467743873596191,10.243437767028809
66,12.227352142333984,11.03305435180664
67,12.548786163330078,11.275447845458984
68,13.433737754821777,12.213274002075195
69,13.723372459411621,12.43981647491455
70,13.97618293762207,12.551484107971191
71,14.283794403076172,12.79324722290039
72,16.081892013549805,14.698078155517578
73,16.607650756835938,14.880285263061523
74,16.23884391784668,14.774683952331543
75,16.410959243774414,14.932661056518555
76,16.05866050720215,14.602509498596191
77,17.167638778686523,15.692748069763184
78,17.006736755371094,15.471731185913086
79,17.692184448242188,16.204357147216797
80,17.507835388183594,15.770027160644531
81,17.353885650634766,15.705427169799805
82,17.08989715576172,15.579573631286621
83,16.57451820373535,15.058061599731445
84,16.391250610351562,14.933732032775879
85,15.066340446472168,13.645394325256348
86,14.935725212097168,13.679717063903809
87,15.301230430603027,14.089016914367676
88,15.254752159118652,14.09549331665039
89,14.2629976272583,13.102203369140625
90,13.620562553405762,12.440576553344727
91,16.36371612548828,14.887320518493652
92,15.823949813842773,14.32078742980957
93,16.221210479736328,14.788334846496582
94,15.374517440795898,14.07829475402832
95,15.627840995788574,14.422388076782227
96,16.568073272705078,15.371620178222656
97,15.400339126586914,14.082058906555176
98,14.976595878601074,13.514941215515137
99,14.746074676513672,13.292649269104004
100,13.425052642822266,12.080733299255371
101,14.498035430908203,13.313671112060547
102,12.38353157043457,11.320810317993164
103,11.937524795532227,10.957466125488281
104,11.680803298950195,10.829795837402344
105,10.890239715576172,9.745680809020996
106,10.743561744689941,9.51395320892334
107,10.690162658691406,9.491495132446289
108,10.767729759216309,9.607653617858887
109,10.527792930603027,9.481522560119629
110,11.451496124267578,10.676258087158203
111,9.69397258758545,8.878580093383789
112,10.751081466674805,10.059164047241211
113,10.381002426147461,9.746975898742676
114,9.957525253295898,9.395940780639648
115,9.117094039916992,8.664997100830078
116,8.560181617736816,8.158905982971191
117,7.6975884437561035,7.237226963043213
118,7.150537490844727,6.686545372009277
119,7.022153377532959,6.512343883514404
120,7.055307388305664,6.540823459625244
121,7.2002763748168945,6.747113227844238
122,6.990417957305908,6.464135646820068
123,7.737830638885498,7.261272430419922
124,7.107832431793213,6.591092586517334
125,6.9436469078063965,6.491391658782959
126,6.724949359893799,6.223020076751709
127,7.741641044616699,7.261368274688721
128,8.298842430114746,7.860760688781738
129,7.056862831115723,6.592679023742676
130,6.401334762573242,5.8609161376953125
131,6.565914154052734,6.104928016662598
132,5.847226619720459,5.321016788482666
133,6.426448345184326,5.9466681480407715
134,5.929366588592529,5.450711727142334
135,5.9655022621154785,5.519378185272217
136,5.832615375518799,5.401495933532715
137,5.839687347412109,5.4125871658325195
138,5.582798480987549,5.138486862182617
139,5.814908504486084,5.388615608215332
140,4.9247565269470215,4.533624649047852
141,4.627456188201904,4.228973388671875
142,4.689398765563965,4.270167350769043
143,4.529943943023682,4.0781354904174805
144,4.656657695770264,4.2588372230529785
145,4.583523750305176,4.198485374450684
146,4.505281925201416,4.140210151672363
147,4.399252891540527,4.021229267120361
148,4.136631011962891,3.7569501399993896
149,4.279061794281006,3.9313900470733643
150,4.364482402801514,3.994460344314575
151,4.318338871002197,3.8935439586639404
152,4.299764156341553,3.78912353515625
153,4.743880748748779,3.9908173084259033
154,4.907210826873779,4.184476375579834
155,5.415202617645264,4.789973258972168
156,5.494038105010986,4.721131801605225
157,5.9089674949646,5.173773288726807
158,6.011661529541016,5.162710189819336
159,6.234514236450195,5.418231964111328
160,6.413846969604492,5.6615800857543945
161,6.53338623046875,5.826784610748291
162,6.694839954376221,6.010445594787598
163,7.147128105163574,6.3997297286987305
164,7.172580718994141,6.394403457641602
165,7.166635513305664,6.3995361328125
166,7.594401836395264,6.647075176239014
167,7.953030586242676,6.942348480224609
168,7.9415106773376465,6.8712544441223145
169,8.332435607910156,7.242046356201172
170,8.254895210266113,7.1843366622924805
171,8.742912292480469,7.7710957527160645
172,8.948309898376465,7.9455156326293945
173,8.909161567687988,7.899154186248779
174,9.094619750976562,8.191875457763672
175,9.143449783325195,8.258719444274902
176,9.463964462280273,8.557856559753418
177,9.48470687866211,8.621354103088379
178,9.570926666259766,8.724397659301758
179,9.878724098205566,9.002397537231445
180,10.0950288772583,9.258123397827148
181,9.576595306396484,8.797440528869629
182,10.6359224319458,9.92287826538086
183,9.562061309814453,8.798097610473633
184,9.825343132019043,9.113128662109375
185,9.90449333190918,9.150473594665527
186,10.4639253616333,9.642292022705078
187,10.089357376098633,9.31845474243164
188,9.747063636779785,9.000411033630371
189,9.978736877441406,9.086088180541992
190,9.87093734741211,9.072461128234863
191,10.549952507019043,9.575440406799316
192,9.98858642578125,8.996932983398438
193,10.206744194030762,9.181270599365234
194,11.262452125549316,10.271160125732422
195,11.564950942993164,10.603311538696289
196,11.871849060058594,10.761923789978027
197,12.299381256103516,11.255492210388184
198,12.555926322937012,11.327364921569824
199,12.735115051269531,11.601306915283203
200,12.441529273986816,11.3605375289917
201,12.282031059265137,11.25059700012207
202,11.603558540344238,10.54182243347168
203,11.662737846374512,10.574671745300293
204,11.470829010009766,10.399109840393066
205,11.716314315795898,10.607444763183594
206,11.312139511108398,10.40429401397705
207,11.579115867614746,10.829573631286621
208,11.950709342956543,11.280012130737305
209,10.386926651000977,9.617334365844727
210,9.615123748779297,8.68631362915039
211,9.783234596252441,8.805134773254395
212,10.270360946655273,9.192893028259277
213,10.035924911499023,8.883268356323242
214,10.267467498779297,9.11667537689209
215,11.031837463378906,9.94192886352539
216,12.114572525024414,10.911301612854004
217,11.17910385131836,9.909223556518555
218,13.314838409423828,12.208160400390625
219,10.872888565063477,9.809776306152344
220,10.670293807983398,9.841340065002441
221,10.370823860168457,9.640954971313477
222,8.82308292388916,8.19603443145752
223,10.017287254333496,9.433514595031738
224,8.319490432739258,7.853455066680908
225,7.187321662902832,6.795152187347412
226,6.3661417961120605,5.992916107177734
227,5.919910907745361,5.532706260681152
228,5.057714939117432,4.613546371459961
229,4.870328426361084,4.393820762634277
230,5.266538619995117,4.826366424560547
231,5.029979705810547,4.376190662384033
232,5.133842945098877,4.391445159912109
233,5.091203689575195,4.2895731925964355
234,4.886115550994873,4.094421863555908
235,4.783862113952637,3.9351515769958496
236,4.768068313598633,3.9517037868499756
237,4.692399978637695,3.872913122177124
238,4.589543342590332,3.8231215476989746
239,4.603654384613037,3.8520963191986084
240,4.444196701049805,3.737314462661743
241,4.407729625701904,3.669342041015625
242,4.3857035636901855,3.6718194484710693
243,4.344769477844238,3.8884212970733643
244,4.378206253051758,3.9614651203155518
245,4.219377517700195,3.7850067615509033
246,3.5641849040985107,3.146794319152832
247,3.599475145339966,3.0085790157318115
248,3.8395309448242188,3.175150156021118
249,3.9957709312438965,3.2949252128601074
250,4.180203437805176,3.4817588329315186
251,4.373790740966797,3.7077019214630127
252,4.3544721603393555,3.6441473960876465
253,4.4869771003723145,3.807878017425537
254,4.4048752784729,3.7129557132720947
255,4.227093696594238,3.7749176025390625
256,4.1960625648498535,3.7139480113983154
257,4.59530782699585,4.149432182312012
258,4.462156772613525,4.010441780090332
259,4.490215301513672,3.8379266262054443
260,4.424447536468506,3.781052827835083
261,4.538032054901123,3.9225990772247314
262,4.46108341217041,3.857546806335449
263,4.675801753997803,4.1273040771484375
264,4.380387783050537,3.957047462463379
265,4.609655857086182,3.995696783065796
266,5.210277080535889,4.394073009490967
267,5.485714912414551,4.679469108581543
268,5.486798286437988,4.686135768890381
269,5.709031581878662,4.5428643226623535
270,5.6487812995910645,4.489681243896484
271,5.670431137084961,4.519362926483154
272,6.08027458190918,5.0201945304870605
273,5.796264171600342,4.617029190063477
274,5.77956485748291,4.647030830383301
275,5.711977958679199,4.589941024780273
276,5.6842145919799805,4.567224979400635
277,5.717060565948486,4.798511505126953
278,6.011169910430908,5.102136135101318
279,6.203073024749756,5.282080173492432
280,5.898918628692627,5.042314529418945
281,5.912039279937744,5.2440032958984375
282,5.194760322570801,4.53476095199585
283,5.302289009094238,4.7037811279296875
284,5.240266799926758,4.627486705780029
285,5.722978115081787,5.152224540710449
286,5.231174468994141,4.67932653427124
287,5.411863327026367,4.862382888793945
288,5.299769878387451,4.683975696563721
289,5.104018688201904,4.447634220123291
290,5.162954807281494,4.453312873840332
291,5.189508438110352,4.504034519195557
292,5.365949630737305,4.685797214508057
293,5.260537147521973,4.560531139373779
294,5.376504421234131,4.636497974395752
295,5.31495475769043,4.622766494750977
296,4.860629558563232,4.2064008712768555
297,4.861504077911377,4.214288711547852
298,4.994832992553711,4.313259124755859
299,5.015815258026123,4.297083377838135
300,5.236874580383301,4.603090286254883
301,5.140875339508057,4.509580612182617
302,5.233133316040039,4.6205830574035645
303,5.246117115020752,4.571052551269531
304,5.417455673217773,4.791062831878662
305,5.262086868286133,4.578936576843262
306,5.278571128845215,4.604319095611572
307,5.434586048126221,4.720411777496338
308,5.323609828948975,4.631412506103516
309,5.351290702819824,4.707642078399658
310,5.350134372711182,4.711359024047852
311,5.3177008628845215,4.704967498779297
312,5.336998462677002,4.701799392700195
313,5.577762603759766,4.925627708435059
314,5.520299911499023,4.858299732208252
315,5.631436347961426,4.9716668128967285
316,5.59874153137207,4.95361852645874
317,5.579329013824463,4.921126842498779
318,5.7172441482543945,5.112176418304443
319,5.8382463455200195,5.235163688659668
320,5.734292984008789,5.1031622886657715
321,5.576063632965088,4.944427490234375
322,5.604147911071777,4.946304798126221
323,5.515289783477783,4.8554768562316895
324,5.587892532348633,4.962467193603516
325,5.3744306564331055,4.708908557891846
326,5.279837608337402,4.739528656005859
327,5.266658782958984,4.738908767700195
328,5.147216796875,4.670226573944092
329,5.11216926574707,4.614633083343506
330,4.967703342437744,4.441308975219727
331,5.113192558288574,4.641738414764404
332,5.0974321365356445,4.649600028991699
333,4.987543106079102,4.549708366394043
334,5.028599739074707,4.613504409790039
335,4.928328037261963,4.515671253204346
336,4.790213584899902,4.390712261199951
337,4.691623210906982,4.3162970542907715
338,4.543842315673828,4.199511528015137
339,4.640044212341309,4.207332611083984
340,4.8185954093933105,4.332546234130859
341,4.886185169219971,4.3387370109558105
342,5.080753326416016,4.495748043060303
343,5.1785736083984375,4.5857439041137695
344,5.557158946990967,4.8963212966918945
345,5.725889682769775,5.041808128356934
346,6.081362724304199,5.335704326629639
347,6.495840549468994,5.729253768920898
348,6.764068126678467,6.015283584594727
349,7.1605610847473145,6.357456684112549
350,7.588010311126709,6.76832389831543
351,7.671545505523682,6.880506992340088
352,7.960931777954102,7.120844841003418
353,8.082361221313477,7.222005844116211
354,8.497270584106445,7.567066192626953
355,8.983531951904297,8.004461288452148
356,9.245255470275879,8.330009460449219
357,9.6680269241333,8.738771438598633
358,10.124910354614258,9.172530174255371
359,10.580218315124512,9.62371826171875
360,11.053733825683594,10.171960830688477
361,11.134847640991211,10.257847785949707
362,11.18198013305664,10.395495414733887
363,11.371245384216309,10.629066467285156
364,11.000646591186523,10.239630699157715
365,11.127551078796387,10.240878105163574
366,11.103569030761719,9.764081001281738
367,11.304120063781738,9.87455940246582
368,11.713251113891602,10.090398788452148
369,12.401589393615723,10.93539810180664
370,12.065037727355957,10.460728645324707
371,11.510625839233398,10.028841972351074
372,11.657095909118652,10.113702774047852
373,14.381175994873047,13.144009590148926
374,12.092855453491211,10.812585830688477
375,12.904685020446777,11.643092155456543
376,13.002880096435547,11.19549560546875
377,16.498868942260742,14.866376876831055
378,11.936548233032227,10.305290222167969
379,13.603680610656738,11.964672088623047
380,12.230783462524414,10.658905029296875
381,14.681358337402344,13.201364517211914
382,12.167976379394531,10.755313873291016
383,13.061097145080566,11.661534309387207
384,11.321759223937988,9.898303031921387
385,12.97663688659668,11.511224746704102
386,11.127118110656738,9.818665504455566
387,16.447790145874023,15.188420295715332
388,10.693221092224121,9.652631759643555
389,13.067975044250488,12.14036750793457
390,11.134263038635254,10.187051773071289
391,13.552024841308594,12.679803848266602
392,10.205554962158203,9.434826850891113
393,13.217796325683594,12.480416297912598
394,10.647931098937988,9.93335247039795
395,11.288225173950195,10.732987403869629
396,9.124722480773926,8.466765403747559
397,8.903732299804688,8.242005348205566
398,8.447522163391113,7.766141891479492
399,9.060489654541016,8.321608543395996
400,7.096548557281494,6.437397003173828
401,10.589229583740234,10.146658897399902
402,6.813360214233398,6.158872127532959
403,7.341704845428467,6.666892051696777
404,7.586843490600586,7.026736259460449
405,7.614459037780762,7.092689037322998
406,7.047729969024658,6.497620105743408
407,6.761359691619873,6.167908191680908
408,6.6147894859313965,5.964405536651611
409,6.815852642059326,6.211497783660889
410,6.290247917175293,5.704646110534668
411,6.827520847320557,6.188007354736328
412,6.541367053985596,5.817265033721924
413,6.982226371765137,6.282472610473633
414,6.836859226226807,6.108257293701172
415,6.735179901123047,6.073607921600342
416,6.980058670043945,6.2558817863464355
417,6.593253135681152,5.813490390777588
418,6.5824151039123535,5.7940263748168945
419,6.952186107635498,6.269716739654541
420,6.493100643157959,5.8055620193481445
421,6.620969295501709,5.89714241027832
422,6.77095890045166,6.053961753845215
423,6.587754726409912,5.9121994972229
424,6.6384406089782715,6.083202362060547
425,6.52979850769043,5.942500591278076
