round,rmse,mae
94,2.146134614944458,1.8474825620651245
95,2.1469919681549072,1.8635402917861938
96,2.120497703552246,1.8574844598770142
97,2.1165075302124023,1.851511836051941
98,2.1191508769989014,1.8517154455184937
99,2.0842583179473877,1.826725959777832
100,2.062498092651367,1.8152289390563965
101,2.021461248397827,1.7909663915634155
102,2.0276081562042236,1.780554175376892
103,2.0067505836486816,1.7591805458068848
104,1.997266411781311,1.7480322122573853
105,1.9951400756835938,1.7428200244903564
106,1.952537178993225,1.6993998289108276
107,1.9426376819610596,1.6790052652359009
108,1.922081708908081,1.665300726890564
109,1.906322956085205,1.6647981405258179
110,1.8681683540344238,1.6397475004196167
111,1.8460696935653687,1.6196459531784058
112,1.842613935470581,1.6238876581192017
113,1.8393968343734741,1.6248695850372314
114,1.8094662427902222,1.606675148010254
115,1.7793281078338623,1.5844697952270508
116,1.759757399559021,1.5578298568725586
117,1.7199444770812988,1.5339339971542358
118,1.7397370338439941,1.5462019443511963
119,1.7041090726852417,1.5173943042755127
120,1.7156529426574707,1.5294599533081055
121,1.7048076391220093,1.5394549369812012
122,1.6976605653762817,1.5409142971038818
123,1.676943302154541,1.5202311277389526
124,1.6619534492492676,1.5138194561004639
125,1.6578232049942017,1.5167052745819092
126,1.671363115310669,1.5352964401245117
127,1.673769474029541,1.5419734716415405
128,1.6844428777694702,1.5524139404296875
129,1.6744732856750488,1.5394830703735352
130,1.6704039573669434,1.5428091287612915
131,1.6733742952346802,1.5524353981018066
132,1.6827746629714966,1.564216136932373
133,1.6629666090011597,1.5617620944976807
134,1.7064207792282104,1.591873288154602
135,1.780112862586975,1.6473968029022217
136,1.8220847845077515,1.6834051609039307
137,1.8696805238723755,1.716526985168457
138,1.900363564491272,1.7564276456832886
139,1.9424867630004883,1.8013694286346436
140,1.9887598752975464,1.8535934686660767
141,2.014616012573242,1.8968150615692139
142,2.0573601722717285,1.9462122917175293
143,2.096461296081543,1.995108962059021
144,2.120325803756714,2.029839277267456
145,2.1483542919158936,2.0635547637939453
146,2.150399684906006,2.0724754333496094
147,2.127124547958374,2.059300184249878
148,2.125495433807373,2.064312696456909
149,2.1426305770874023,2.082751512527466
150,2.1682004928588867,2.108224391937256
151,2.185256242752075,2.1252663135528564
152,2.2281529903411865,2.1616737842559814
153,2.257732391357422,2.193185806274414
154,2.2994930744171143,2.235292434692383
155,2.3606154918670654,2.286118268966675
156,2.3974106311798096,2.3297150135040283
157,2.4326679706573486,2.367532253265381
158,2.49851131439209,2.435421943664551
159,2.5248072147369385,2.460909843444824
160,2.5521576404571533,2.4879655838012695
161,2.556252956390381,2.4919724464416504
162,2.575183391571045,2.513526678085327
163,2.604811191558838,2.539245367050171
164,2.5988662242889404,2.5394368171691895
165,2.599648952484131,2.53719425201416
166,2.6007187366485596,2.536163091659546
167,2.5648245811462402,2.502441883087158
168,2.581284284591675,2.5142345428466797
169,2.569810390472412,2.5007882118225098
170,2.600013017654419,2.5266273021698
171,2.5787558555603027,2.5040290355682373
172,2.6423821449279785,2.5754587650299072
173,2.5506699085235596,2.4763572216033936
174,2.6416313648223877,2.5741522312164307
175,2.5277462005615234,2.4417426586151123
176,2.6294138431549072,2.5582354068756104
177,2.5369341373443604,2.4658286571502686
